dataset,dataset_type,scenario,model,model_version,horizon,n,mae,rmse,crps_approx,coverage95,mean_interval_width,calibration_error,failed_predictions
enriched_monthly_panel,observed,prior_7_8_with_killer,linear_trend,baseline,6,15,9.0204,10.5513,6.8866,0.7333,45.7619,0.2556,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,baseline,1,20,6.4139,7.4560,4.9752,0.5000,11.6470,0.3667,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,baseline,2,19,9.4845,11.1847,8.0319,0.3158,11.8999,0.4123,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,baseline,3,18,12.5751,14.4374,10.9486,0.2222,11.4939,0.5000,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,baseline,4,17,15.0859,16.1741,13.5023,0.0000,11.0068,0.5000,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,baseline,5,16,18.0323,19.0314,16.5197,0.0000,10.5094,0.5000,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,baseline,6,15,20.4372,21.4226,18.9964,0.0000,10.0106,0.5000,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,hardened,1,20,3.8138,5.4207,2.9046,0.8500,14.6943,0.1389,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,hardened,2,19,5.5511,6.6852,4.0722,0.6842,15.3342,0.1702,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,hardened,3,18,6.5986,7.9689,5.0847,0.5556,14.9192,0.1494,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,hardened,4,17,5.1802,7.0753,4.0839,0.7059,14.3262,0.1667,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,hardened,5,16,5.6002,7.8073,4.4714,0.7500,13.6972,0.2569,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,hardened,6,15,6.2182,8.6393,5.0481,0.7333,13.0578,0.3741,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,hardened_no_area,1,20,4.0871,5.5804,3.0484,0.8500,14.8671,0.1722,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,hardened_no_area,2,19,5.9192,7.0506,4.3457,0.6842,15.5697,0.1936,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,hardened_no_area,3,18,6.8103,8.5176,5.3317,0.6111,15.1602,0.1617,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,hardened_no_area,4,17,5.8016,7.9678,4.6488,0.7059,14.5545,0.2451,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,hardened_no_area,5,16,6.8788,9.1975,5.6160,0.6875,13.9084,0.3472,0
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,hardened_no_area,6,15,8.3982,10.4890,6.8364,0.5333,13.2513,0.4259,0
enriched_monthly_panel,observed,prior_7_8_with_killer,logistic_scurve,baseline,1,20,4.7128,5.8498,3.5131,0.9000,22.6102,0.0667,0
enriched_monthly_panel,observed,prior_7_8_with_killer,logistic_scurve,baseline,2,19,5.0685,6.1614,3.7511,0.8421,25.4306,0.1094,0
enriched_monthly_panel,observed,prior_7_8_with_killer,logistic_scurve,baseline,3,18,5.7951,6.4764,4.0271,0.9444,27.9772,0.1605,0
enriched_monthly_panel,observed,prior_7_8_with_killer,logistic_scurve,baseline,4,17,6.1008,6.5795,4.1311,0.9412,30.2946,0.2190,0
enriched_monthly_panel,observed,prior_7_8_with_killer,logistic_scurve,baseline,5,16,6.0869,6.4492,4.0984,0.9375,32.4279,0.2222,0
enriched_monthly_panel,observed,prior_7_8_with_killer,logistic_scurve,baseline,6,15,5.7221,6.1621,3.9752,0.9333,34.3810,0.2407,0
enriched_monthly_panel,observed,prior_7_8_with_killer,persistence,baseline,1,20,3.5499,5.5902,3.0653,0.9000,21.0060,0.1222,0
enriched_monthly_panel,observed,prior_7_8_with_killer,persistence,baseline,2,19,5.7271,7.7725,4.4977,0.8421,29.8280,0.1725,0
enriched_monthly_panel,observed,prior_7_8_with_killer,persistence,baseline,3,18,7.8705,10.2949,6.1301,0.7778,36.6545,0.1914,0
enriched_monthly_panel,observed,prior_7_8_with_killer,persistence,baseline,4,17,9.6244,11.4336,7.1093,0.8235,42.4302,0.2843,0
enriched_monthly_panel,observed,prior_7_8_with_killer,persistence,baseline,5,16,10.9168,12.5654,7.8859,0.8750,47.5109,0.3125,0
enriched_monthly_panel,observed,prior_7_8_with_killer,persistence,baseline,6,15,12.3320,13.7970,8.7199,0.9333,52.0478,0.3370,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,baseline,1,24,1.5260,2.3312,1.3103,0.8750,10.2508,0.1389,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,baseline,2,23,2.5921,3.9727,2.1609,0.8261,10.4532,0.1522,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,baseline,3,22,3.3084,5.0057,2.7562,0.7727,9.8887,0.1768,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,baseline,4,21,3.6667,5.5345,3.1057,0.6667,9.4178,0.1772,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,baseline,5,20,3.6946,5.6848,3.2216,0.6500,8.7549,0.1667,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,baseline,6,19,3.7517,5.6339,3.2230,0.6316,8.0611,0.1901,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened,1,24,0.7751,0.9712,0.8407,1.0000,12.1822,0.1889,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened,2,23,1.5138,1.8792,1.1435,1.0000,12.5179,0.1850,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened,3,22,2.1243,2.6625,1.5077,1.0000,11.9590,0.2323,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened,4,21,2.7455,3.3699,1.9301,1.0000,11.5266,0.2989,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened,5,20,3.3579,4.0213,2.4070,0.8000,11.1168,0.3556,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened,6,19,4.0379,4.5731,2.9272,0.6316,10.4541,0.4240,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened_no_area,1,24,0.7751,0.9712,0.8407,1.0000,12.1822,0.1889,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened_no_area,2,23,1.5138,1.8792,1.1435,1.0000,12.5179,0.1850,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened_no_area,3,22,2.1243,2.6625,1.5077,1.0000,11.9590,0.2323,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened_no_area,4,21,2.7455,3.3699,1.9301,1.0000,11.5266,0.2989,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened_no_area,5,20,3.3579,4.0213,2.4070,0.8000,11.1168,0.3556,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened_no_area,6,19,4.0379,4.5731,2.9272,0.6316,10.4541,0.4240,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,baseline,1,24,1.5733,2.3402,1.3620,1.0000,13.9552,0.1620,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,baseline,2,23,2.7189,3.9983,2.1223,0.8696,14.3421,0.1860,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,baseline,3,22,3.5048,5.0504,2.6823,0.8636,13.9489,0.2222,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,baseline,4,21,3.9558,5.6036,3.0259,0.8095,13.4606,0.2354,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,baseline,5,20,4.1321,5.7870,3.1790,0.8000,12.9602,0.2500,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,baseline,6,19,4.0966,5.7317,3.1850,0.7895,12.4583,0.2602,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened,1,24,0.6746,0.7903,0.9628,1.0000,15.0716,0.2222,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened,2,23,1.2934,1.4998,1.1451,1.0000,15.4895,0.1841,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened,3,22,1.8080,2.1232,1.3437,1.0000,15.0648,0.1778,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened,4,21,2.2892,2.6644,1.5732,1.0000,14.5374,0.2048,0
