dataset,dataset_type,scenario,model,horizon,mae_baseline,mae_hardened,mae_hardened_no_area,mae_delta_hardened_minus_baseline,mae_delta_hardened_minus_hardened_no_area,rmse_baseline,rmse_hardened,rmse_hardened_no_area,rmse_delta_hardened_minus_baseline,rmse_delta_hardened_minus_hardened_no_area,crps_approx_baseline,crps_approx_hardened,crps_approx_hardened_no_area,crps_approx_delta_hardened_minus_baseline,crps_approx_delta_hardened_minus_hardened_no_area,coverage95_baseline,coverage95_hardened,coverage95_hardened_no_area,coverage95_delta_hardened_minus_baseline,coverage95_delta_hardened_minus_hardened_no_area,mean_interval_width_baseline,mean_interval_width_hardened,mean_interval_width_hardened_no_area,mean_interval_width_delta_hardened_minus_baseline,mean_interval_width_delta_hardened_minus_hardened_no_area,calibration_error_baseline,calibration_error_hardened,calibration_error_hardened_no_area,calibration_error_delta_hardened_minus_baseline,calibration_error_delta_hardened_minus_hardened_no_area
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,2,9.4845,5.5511,5.9192,-3.9334,-0.3681,11.1847,6.6852,7.0506,-4.4995,-0.3654,8.3029,4.1349,4.4295,-4.1680,-0.2946,0.2632,0.6842,0.6842,+0.4210,+0.0000,9.2837,14.2195,13.7014,+4.9358,+0.5181,0.4181,0.1877,0.1994,-0.2304,-0.0117
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,3,12.5751,6.5986,6.8103,-5.9765,-0.2117,14.4374,7.9689,8.5176,-6.4685,-0.5487,11.3059,5.1644,5.4253,-6.1415,-0.2609,0.0556,0.5556,0.6111,+0.5000,-0.0555,8.8604,13.8147,13.3112,+4.9543,+0.5035,0.5000,0.1568,0.1679,-0.3432,-0.0111
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,4,15.0859,5.1802,5.8016,-9.9057,-0.6214,16.1741,7.0753,7.9678,-9.0988,-0.8925,13.8811,4.1210,4.7131,-9.7601,-0.5921,0.0000,0.7059,0.6471,+0.7059,+0.0588,8.3713,13.1355,12.6679,+4.7642,+0.4676,0.5000,0.1732,0.2647,-0.3268,-0.0915
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,5,18.0323,5.6002,6.8788,-12.4321,-1.2786,19.0314,7.8073,9.1975,-11.2241,-1.3902,16.8991,4.5296,5.7234,-12.3695,-1.1938,0.0000,0.6875,0.5625,+0.6875,+0.1250,7.8737,12.3855,11.9611,+4.5118,+0.4244,0.5000,0.2639,0.3750,-0.2361,-0.1111
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,6,20.4372,6.2182,8.3982,-14.2190,-2.1800,21.4226,8.6393,10.4890,-12.7833,-1.8497,19.3757,5.1352,6.9957,-14.2405,-1.8605,0.0000,0.7333,0.3333,+0.7333,+0.4000,7.3750,11.6141,11.2366,+4.2391,+0.3775,0.5000,0.3889,0.4481,-0.1111,-0.0592
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,all,13.2035,5.4425,6.2043,-7.7610,-0.7618,15.2337,7.2543,8.1394,-7.9794,-0.8851,12.0265,4.2818,4.9514,-7.7447,-0.6696,0.1143,0.6952,0.6190,+0.5809,+0.0762,8.5556,13.1668,12.7047,+4.6112,+0.4621,0.4619,0.2069,0.2608,-0.2550,-0.0539
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,1,6.4139,3.8138,4.0871,-2.6001,-0.2733,7.4560,5.4207,5.5804,-2.0353,-0.1597,4.7676,2.8886,3.0260,-1.8790,-0.1374,0.7500,0.8500,0.8500,+0.1000,+0.0000,14.1166,16.0381,16.1439,+1.9215,-0.1058,0.3556,0.1389,0.1556,-0.2167,-0.0167
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,2,9.4845,5.5511,5.9192,-3.9334,-0.3681,11.1847,6.6852,7.0506,-4.4995,-0.3654,7.7833,4.0082,4.2795,-3.7751,-0.2713,0.4211,0.7368,0.6842,+0.3157,+0.0526,14.5162,16.5984,16.7406,+2.0822,-0.1422,0.4006,0.1643,0.1912,-0.2363,-0.0269
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,3,12.5751,6.5986,6.8103,-5.9765,-0.2117,14.4374,7.9689,8.5176,-6.4685,-0.5487,10.6164,4.9984,5.2577,-5.6180,-0.2593,0.2778,0.6667,0.6111,+0.3889,+0.0556,14.1275,16.2022,16.3441,+2.0747,-0.1419,0.4938,0.1494,0.1667,-0.3444,-0.0173
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,4,15.0859,5.1802,5.8016,-9.9057,-0.6214,16.1741,7.0753,7.9678,-9.0988,-0.8925,13.1260,4.0494,4.6033,-9.0766,-0.5539,0.0000,0.7059,0.7059,+0.7059,+0.0000,13.6425,15.6751,15.8074,+2.0326,-0.1323,0.5000,0.1667,0.2451,-0.3333,-0.0784
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,5,18.0323,5.6002,6.8788,-12.4321,-1.2786,19.0314,7.8073,9.1975,-11.2241,-1.3902,16.1408,4.4217,5.5369,-11.7191,-1.1152,0.0000,0.7500,0.6875,+0.7500,+0.0625,13.1453,15.1255,15.2467,+1.9802,-0.1212,0.5000,0.2500,0.3403,-0.2500,-0.0903
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,6,20.4372,6.2182,8.3982,-14.2190,-2.1800,21.4226,8.6393,10.4890,-12.7833,-1.8497,18.6170,4.9701,6.7144,-13.6469,-1.7443,0.0000,0.8000,0.6000,+0.8000,+0.2000,12.6465,14.5688,14.6794,+1.9223,-0.1106,0.5000,0.3444,0.4259,-0.1556,-0.0815
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,all,13.2035,5.4425,6.2043,-7.7610,-0.7618,15.2337,7.2543,8.1394,-7.9794,-0.8851,11.3808,4.1718,4.8003,-7.2090,-0.6285,0.2667,0.7524,0.6952,+0.4857,+0.0572,13.7560,15.7599,15.8858,+2.0039,-0.1259,0.4534,0.1921,0.2450,-0.2613,-0.0529
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,1,7.1231,4.0364,4.3019,-3.0867,-0.2655,8.1631,5.5306,5.6879,-2.6325,-0.1573,5.6319,3.0092,3.1579,-2.6227,-0.1487,0.3500,0.8500,0.8500,+0.5000,+0.0000,11.6470,14.7455,14.9350,+3.0985,-0.1895,0.3889,0.1667,0.1944,-0.2222,-0.0277
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,2,10.8806,5.8522,6.2082,-5.0284,-0.3560,12.5810,6.9422,7.3505,-5.6388,-0.4083,9.3577,4.2804,4.5735,-5.0773,-0.2931,0.2632,0.6842,0.7895,+0.4210,-0.1053,11.8999,15.3995,15.6574,+3.4996,-0.2579,0.4649,0.1877,0.2205,-0.2772,-0.0328
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,3,14.6630,6.8124,7.0119,-7.8506,-0.1995,16.3017,8.3565,8.9903,-7.9452,-0.6338,13.0112,5.2914,5.5991,-7.7198,-0.3077,0.0000,0.6111,0.6111,+0.6111,+0.0000,11.4939,14.9895,15.2548,+3.4956,-0.2653,0.5000,0.1741,0.1914,-0.3259,-0.0173
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,4,17.4799,5.6999,6.5089,-11.7800,-0.8090,18.4521,7.7224,8.7600,-10.7297,-1.0376,15.8958,4.5161,5.2757,-11.3797,-0.7596,0.0000,0.7059,0.7059,+0.7059,+0.0000,11.0068,14.3985,14.6516,+3.3917,-0.2531,0.5000,0.2516,0.3235,-0.2484,-0.0719
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,5,20.5848,6.6065,8.2339,-13.9783,-1.6274,21.5155,8.7850,10.2903,-12.7305,-1.5053,19.0722,5.3069,6.6659,-13.7653,-1.3590,0.0000,0.6875,0.5625,+0.6875,+0.1250,10.5094,13.7709,14.0068,+3.2615,-0.2359,0.5000,0.3403,0.4097,-0.1597,-0.0694
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,6,23.0387,7.8853,10.0083,-15.1534,-2.1230,23.9844,9.9048,11.8287,-14.0796,-1.9239,21.5979,6.3318,8.2456,-15.2661,-1.9138,0.0000,0.6000,0.2667,+0.6000,+0.3333,10.0106,13.1329,13.3507,+3.1223,-0.2178,0.5000,0.4333,0.4704,-0.0667,-0.0371
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,all,15.0973,6.0517,6.8831,-9.0456,-0.8314,17.1678,7.8708,8.8512,-9.2970,-0.9804,13.5618,4.6992,5.4368,-8.8626,-0.7376,0.1143,0.6952,0.6476,+0.5809,+0.0476,11.1557,14.4706,14.7069,+3.3149,-0.2363,0.4725,0.2460,0.2915,-0.2265,-0.0455
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,1,6.4139,3.8138,4.0871,-2.6001,-0.2733,7.4560,5.4207,5.5804,-2.0353,-0.1597,4.9752,2.9046,3.0484,-2.0706,-0.1438,0.5000,0.8500,0.8500,+0.3500,+0.0000,11.6470,14.6943,14.8671,+3.0473,-0.1728,0.3667,0.1389,0.1722,-0.2278,-0.0333
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,2,9.4845,5.5511,5.9192,-3.9334,-0.3681,11.1847,6.6852,7.0506,-4.4995,-0.3654,8.0319,4.0722,4.3457,-3.9597,-0.2735,0.3158,0.6842,0.6842,+0.3684,+0.0000,11.8999,15.3342,15.5697,+3.4343,-0.2355,0.4123,0.1702,0.1936,-0.2421,-0.0234
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,3,12.5751,6.5986,6.8103,-5.9765,-0.2117,14.4374,7.9689,8.5176,-6.4685,-0.5487,10.9486,5.0847,5.3317,-5.8639,-0.2470,0.2222,0.5556,0.6111,+0.3334,-0.0555,11.4939,14.9192,15.1602,+3.4253,-0.2410,0.5000,0.1494,0.1617,-0.3506,-0.0123
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,4,15.0859,5.1802,5.8016,-9.9057,-0.6214,16.1741,7.0753,7.9678,-9.0988,-0.8925,13.5023,4.0839,4.6488,-9.4184,-0.5649,0.0000,0.7059,0.7059,+0.7059,+0.0000,11.0068,14.3262,14.5545,+3.3194,-0.2283,0.5000,0.1667,0.2451,-0.3333,-0.0784
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,5,18.0323,5.6002,6.8788,-12.4321,-1.2786,19.0314,7.8073,9.1975,-11.2241,-1.3902,16.5197,4.4714,5.6160,-12.0483,-1.1446,0.0000,0.7500,0.6875,+0.7500,+0.0625,10.5094,13.6972,13.9084,+3.1878,-0.2112,0.5000,0.2569,0.3472,-0.2431,-0.0903
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,6,20.4372,6.2182,8.3982,-14.2190,-2.1800,21.4226,8.6393,10.4890,-12.7833,-1.8497,18.9964,5.0481,6.8364,-13.9483,-1.7883,0.0000,0.7333,0.5333,+0.7333,+0.2000,10.0106,13.0578,13.2513,+3.0472,-0.1935,0.5000,0.3741,0.4259,-0.1259,-0.0518
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,all,13.2035,5.4425,6.2043,-7.7610,-0.7618,15.2337,7.2543,8.1394,-7.9794,-0.8851,11.6951,4.2255,4.8661,-7.4696,-0.6406,0.1905,0.7143,0.6857,+0.5238,+0.0286,11.1557,14.4033,14.6170,+3.2476,-0.2137,0.4587,0.1984,0.2471,-0.2603,-0.0487
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,1,1.5260,0.7751,0.7751,-0.7509,+0.0000,2.3312,0.9712,0.9712,-1.3600,+0.0000,1.3103,0.8407,0.8407,-0.4696,+0.0000,0.8750,1.0000,1.0000,+0.1250,+0.0000,10.2508,12.1822,12.1822,+1.9314,+0.0000,0.1389,0.1889,0.1889,+0.0500,+0.0000
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,2,2.5921,1.5138,1.5138,-1.0783,+0.0000,3.9727,1.8792,1.8792,-2.0935,+0.0000,2.1609,1.1435,1.1435,-1.0174,+0.0000,0.8261,1.0000,1.0000,+0.1739,+0.0000,10.4532,12.5179,12.5179,+2.0647,+0.0000,0.1522,0.1850,0.1850,+0.0328,+0.0000
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,3,3.3084,2.1243,2.1243,-1.1841,+0.0000,5.0057,2.6625,2.6625,-2.3432,+0.0000,2.7562,1.5077,1.5077,-1.2485,+0.0000,0.7727,1.0000,1.0000,+0.2273,+0.0000,9.8887,11.9590,11.9590,+2.0703,+0.0000,0.1768,0.2323,0.2323,+0.0555,+0.0000
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,4,3.6667,2.7455,2.7455,-0.9212,+0.0000,5.5345,3.3699,3.3699,-2.1646,+0.0000,3.1057,1.9301,1.9301,-1.1756,+0.0000,0.6667,1.0000,1.0000,+0.3333,+0.0000,9.4178,11.5266,11.5266,+2.1088,+0.0000,0.1772,0.2989,0.2989,+0.1217,+0.0000
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,5,3.6946,3.3579,3.3579,-0.3367,+0.0000,5.6848,4.0213,4.0213,-1.6635,+0.0000,3.2216,2.4070,2.4070,-0.8146,+0.0000,0.6500,0.8000,0.8000,+0.1500,+0.0000,8.7549,11.1168,11.1168,+2.3619,+0.0000,0.1667,0.3556,0.3556,+0.1889,+0.0000
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,6,3.7517,4.0379,4.0379,+0.2862,+0.0000,5.6339,4.5731,4.5731,-1.0608,+0.0000,3.2230,2.9272,2.9272,-0.2958,+0.0000,0.6316,0.6316,0.6316,+0.0000,+0.0000,8.0611,10.4541,10.4541,+2.3930,+0.0000,0.1901,0.4240,0.4240,+0.2339,+0.0000
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,all,3.0326,2.3387,2.3387,-0.6939,+0.0000,4.7718,3.0741,3.0741,-1.6977,+0.0000,2.5789,1.7359,1.7359,-0.8430,+0.0000,0.7442,0.9147,0.9147,+0.1705,+0.0000,9.5351,11.6776,11.6776,+2.1425,+0.0000,0.1658,0.2476,0.2476,+0.0818,+0.0000
