dataset,dataset_type,scenario,model,horizon,mae_baseline,mae_hardened,mae_delta_hardened_minus_baseline,rmse_baseline,rmse_hardened,rmse_delta_hardened_minus_baseline,crps_approx_baseline,crps_approx_hardened,crps_approx_delta_hardened_minus_baseline,coverage95_baseline,coverage95_hardened,coverage95_delta_hardened_minus_baseline,mean_interval_width_baseline,mean_interval_width_hardened,mean_interval_width_delta_hardened_minus_baseline,calibration_error_baseline,calibration_error_hardened,calibration_error_delta_hardened_minus_baseline
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,6,22.5436,15.3665,-7.1771,23.3724,16.3588,-7.0136,21.5092,13.8361,-7.6731,0.0000,0.0000,+0.0000,7.1868,10.6378,+3.4510,0.5000,0.5000,+0.0000
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,all,14.4406,9.5361,-4.9045,16.4492,11.3984,-5.0508,13.2814,8.0546,-5.2268,0.0667,0.3524,+0.2857,8.3783,12.1167,+3.7384,0.4735,0.4153,-0.0582
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,1,6.4447,4.8025,-1.6422,7.5037,5.8041,-1.6996,4.8434,3.3309,-1.5125,0.6500,0.8500,+0.2000,13.9552,17.2176,+3.2624,0.3722,0.2444,-0.1278
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,2,10.1697,6.9249,-3.2448,11.7140,8.3005,-3.4135,8.3751,5.1724,-3.2027,0.3684,0.7368,+0.3684,14.3421,18.0132,+3.6711,0.4474,0.3187,-0.1287
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,3,13.9140,8.5654,-5.3486,15.3742,10.6978,-4.6764,11.9246,6.8406,-5.0840,0.0556,0.5556,+0.5000,13.9489,17.6116,+3.6627,0.5000,0.3889,-0.1111
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,4,16.8192,10.5419,-6.2773,17.6749,11.7975,-5.8774,14.8843,8.2947,-6.5896,0.0000,0.4706,+0.4706,13.4606,17.0200,+3.5594,0.5000,0.4804,-0.0196
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,5,19.9757,13.1112,-6.8645,20.7931,14.1840,-6.6091,18.1106,10.8083,-7.3023,0.0000,0.1250,+0.1250,12.9602,16.3964,+3.4362,0.5000,0.4931,-0.0069
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,6,22.5436,15.3665,-7.1771,23.3724,16.3588,-7.0136,20.7506,13.1120,-7.6386,0.0000,0.0667,+0.0667,12.4583,15.7688,+3.3105,0.5000,0.5000,+0.0000
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,all,14.4406,9.5361,-4.9045,16.4492,11.3984,-5.0508,12.6162,7.6062,-5.0100,0.2000,0.4952,+0.2952,13.5786,17.0650,+3.4864,0.4661,0.3952,-0.0709
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,1,7.1390,5.1786,-1.9604,8.2424,6.0961,-2.1463,5.7292,3.6146,-2.1146,0.3500,0.8500,+0.5000,11.4856,15.5968,+4.1112,0.3944,0.3000,-0.0944
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,2,11.7251,7.5871,-4.1380,13.1215,8.9948,-4.1267,10.0932,5.8432,-4.2500,0.1579,0.5263,+0.3684,11.7258,16.5271,+4.8013,0.4883,0.3538,-0.1345
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,3,15.9018,9.9454,-5.9564,17.2180,11.7456,-5.4724,14.2742,8.0014,-6.2728,0.0000,0.4444,+0.4444,11.3153,16.1853,+4.8700,0.5000,0.4383,-0.0617
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,4,19.0592,12.2252,-6.8340,19.8513,13.3278,-6.5235,17.5013,10.0388,-7.4625,0.0000,0.1765,+0.1765,10.8249,15.5944,+4.7695,0.5000,0.4935,-0.0065
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,5,22.3182,15.0164,-7.3018,23.1011,15.9817,-7.1194,20.8323,12.8744,-7.9579,0.0000,0.0625,+0.0625,10.3243,14.9506,+4.6263,0.5000,0.5000,+0.0000
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,6,24.8854,17.4239,-7.4615,25.6950,18.3385,-7.3565,23.4717,15.3675,-8.1042,0.0000,0.0000,+0.0000,9.8224,14.2972,+4.4748,0.5000,0.5000,+0.0000
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,all,16.2492,10.8209,-5.4283,18.2855,12.6922,-5.5933,14.7257,8.9000,-5.8257,0.0952,0.3714,+0.2762,10.9783,15.5815,+4.6032,0.4778,0.4238,-0.0540
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,1,6.4447,4.8025,-1.6422,7.5037,5.8041,-1.6996,5.0559,3.3651,-1.6908,0.5000,0.8500,+0.3500,11.4856,16.0825,+4.5969,0.3778,0.2556,-0.1222
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,2,10.1697,6.9249,-3.2448,11.7140,8.3005,-3.4135,8.6498,5.2306,-3.4192,0.2632,0.6316,+0.3684,11.7258,17.0790,+5.3532,0.4649,0.3187,-0.1462
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,3,13.9140,8.5654,-5.3486,15.3742,10.6978,-4.6764,12.2899,6.9050,-5.3849,0.0556,0.5556,+0.5000,11.3153,16.7003,+5.3850,0.5000,0.3889,-0.1111
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,4,16.8192,10.5419,-6.2773,17.6749,11.7975,-5.8774,15.2616,8.4004,-6.8612,0.0000,0.4706,+0.4706,10.8249,16.0420,+5.2171,0.5000,0.4804,-0.0196
