dataset,dataset_type,scenario,model,horizon,n,mae,rmse,crps_approx,coverage95,mean_interval_width,calibration_error,failed_predictions
synthetic_noisy,synthetic,prior_7_8_with_killer,logistic_scurve,4,21,3.9111,4.6461,2.7078,0.9048,17.2006,0.2302,0
synthetic_noisy,synthetic,prior_7_8_with_killer,logistic_scurve,5,20,4.4294,5.2688,3.0931,0.9000,18.3102,0.2167,0
synthetic_noisy,synthetic,prior_7_8_with_killer,logistic_scurve,6,19,4.9610,5.9613,3.5345,0.8421,19.3541,0.2602,0
synthetic_noisy,synthetic,prior_7_8_with_killer,persistence,1,24,2.9423,3.6255,2.0374,1.0000,16.1280,0.1713,0
synthetic_noisy,synthetic,prior_7_8_with_killer,persistence,2,23,4.0074,5.1440,2.8320,1.0000,22.9426,0.2295,0
synthetic_noisy,synthetic,prior_7_8_with_killer,persistence,3,22,6.0184,7.1618,4.0050,1.0000,28.1261,0.2828,0
synthetic_noisy,synthetic,prior_7_8_with_killer,persistence,4,21,7.9945,9.2020,5.2382,1.0000,32.3790,0.3148,0
synthetic_noisy,synthetic,prior_7_8_with_killer,persistence,5,20,9.7801,11.0968,6.4454,1.0000,36.1961,0.3444,0
synthetic_noisy,synthetic,prior_7_8_with_killer,persistence,6,19,12.0136,13.5079,8.0102,0.9474,39.8988,0.3596,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,1,24,4.4632,6.3615,3.5807,0.7500,10.2508,0.0880,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,2,23,4.4662,6.3965,3.6913,0.6087,10.2471,0.1444,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,3,22,4.9367,7.0069,4.0838,0.5909,9.8539,0.1323,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,4,21,5.5188,7.5804,4.6590,0.5714,9.4148,0.1635,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,5,20,5.1662,8.3434,4.5659,0.6000,8.9751,0.1833,0
