dataset,dataset_type,scenario,model,model_version,horizon,n,mae,rmse,crps_approx,coverage95,mean_interval_width,calibration_error,failed_predictions
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,baseline,3,22,3.1862,4.6572,2.6007,0.7727,9.8539,0.1717,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,baseline,4,21,3.5118,5.2399,2.9711,0.7143,9.4148,0.1825,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,baseline,5,20,3.7706,5.9598,3.2517,0.7000,8.9751,0.1889,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,baseline,6,19,3.7839,5.3910,3.1744,0.6842,8.5411,0.1784,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,hardened,1,24,2.3272,3.1660,1.7493,0.9167,13.0363,0.0454,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,hardened,2,23,2.3151,3.0780,1.7799,0.9130,13.5625,0.0700,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,hardened,3,22,2.4741,3.0716,1.8094,0.8636,12.9831,0.0515,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,hardened,4,21,2.7352,3.3439,1.9173,0.9048,12.2302,0.0524,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,hardened,5,20,2.9327,3.7467,2.0553,0.9000,11.7119,0.0778,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,hardened,6,19,2.9718,3.2586,1.9932,0.8421,11.2305,0.1035,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,baseline,1,24,2.4583,3.4978,1.8480,0.9167,13.9552,0.1009,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,baseline,2,23,2.7066,4.0660,2.1314,0.9130,14.3421,0.1715,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,baseline,3,22,3.2622,4.6595,2.4969,0.8636,13.9489,0.1919,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,baseline,4,21,3.5869,5.2548,2.8579,0.7619,13.4606,0.2196,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,baseline,5,20,3.8888,6.0173,3.1746,0.8000,12.9602,0.2500,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,baseline,6,19,3.8368,5.4023,3.0133,0.7895,12.4583,0.2485,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,hardened,1,24,2.3049,3.1207,1.7180,0.9583,15.2974,0.0741,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,hardened,2,23,2.1949,2.9990,1.6993,0.9565,15.7556,0.0768,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,hardened,3,22,2.1647,2.8881,1.6633,1.0000,15.3373,0.0707,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,hardened,4,21,2.3358,3.0815,1.7237,0.9524,14.8088,0.0778,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,hardened,5,20,2.4759,3.4571,1.8269,0.9500,14.2658,0.0667,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,hardened,6,19,2.2992,2.8517,1.6394,1.0000,13.7204,0.0673,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,baseline,1,24,2.6228,3.7805,1.9638,0.9167,11.4856,0.1389,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,baseline,2,23,3.2192,4.7238,2.5017,0.7826,11.7258,0.2198,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,baseline,3,22,3.9668,5.5680,3.1059,0.7727,11.3153,0.2778,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,baseline,4,21,4.4276,6.2967,3.5878,0.7143,10.8249,0.2884,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,baseline,5,20,4.8076,7.0982,4.0002,0.7000,10.3243,0.3056,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,baseline,6,19,4.7317,6.5217,3.8637,0.6842,9.8224,0.3421,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,hardened,1,24,2.3149,3.2168,1.7019,0.9167,12.9083,0.0500,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,hardened,2,23,2.2718,3.2609,1.7439,0.9130,13.2563,0.0855,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,hardened,3,22,2.4046,3.3141,1.8123,0.8636,12.8229,0.1111,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,hardened,4,21,2.6622,3.6190,1.9556,0.9048,12.2852,0.1349,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,hardened,5,20,2.7736,4.0978,2.1196,0.9000,11.7325,0.1389,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,hardened,6,19,2.6360,3.4669,1.9546,0.8947,11.1768,0.1374,0
